Customer,Store ID Customer,STORE_ID,STORE_NAME,Store Name TH,Province TH,Region TH,Active-Inactive
บิ๊กซี,15044:Non Sung,S00955,BC-NON_SUNG-NAKHONRATCHASIMA,โนนสูง,นครราชสีมา,ภาคตะวันออกเฉียงเหนือ,Not active
บิ๊กซี,11228:Phon Phisai,S00964,BC-PHONPHISAI-NONGKHAI,โพนพิสัย,หนองคาย,ภาคตะวันออกเฉียงเหนือ,Active
บิ๊กซี,11252:Sai Noi,S00906,BC:SAI_NOI,ไทรน้อย,นนทบุรี,กรุงเทพฯและภาคกลาง,Active
บิ๊กซี,11226:Kranuan,S00939,BC-KRANUAN-KHONKAEN,กระนวน,ขอนแก่น,ภาคตะวันออกเฉียงเหนือ,Active
บิ๊กซี,11160:Krabi,S00796,BC-KRABI,กระบี่,กระบี่,ภาคใต้,Active
บิ๊กซี,11221:Kanlapaphruek,S00892,BC:KALLAPRAPRUK,กัลปพฤกษ์,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,Active
บิ๊กซี,11224:Kanchanaburi,S00845,BC-KANCHANABURI,กาญจนบุรี,กาญจนบุรี,ภาคตะวันตกและตะวันออก,Active
บิ๊กซี,11217:Kalasin,S00936,BC-KALASIN,กาฬสินธุ์,กาฬสินธุ์,ภาคตะวันออกเฉียงเหนือ,Active
บิ๊กซี,11171:Kamphengphet,S00869,BC-KAMPHAENGPHET,กำแพงเพชร,กำแพงเพชร,ภาคเหนือ,Active
บิ๊กซี,11110:Khonkaen,S00832,BC-KHONKAEN,ขอนแก่น,ขอนแก่น,ภาคตะวันออกเฉียงเหนือ,Active
บิ๊กซี,11242:Kham Ta Kla (Sakon Nakhon),S00937,BC-KHAM_TA_KLA-SAKONNAKHON,คำตากล้า,สกลนคร,ภาคตะวันออกเฉียงเหนือ,Active
บิ๊กซี,11209:Chantaburi,S00925,BC-CHANTHABURI,จันทบุรี,จันทบุรี,ภาคตะวันตกและตะวันออก,Active
บิ๊กซี,11161:Navanakorn JUMBO,S00897,BC:JUMBO-NAVANAKORN,จัมโบ้ นวนคร,ปทุมธานี,กรุงเทพฯและภาคกลาง,Active
บิ๊กซี,11103:Radburana JUMBO,S01184,BC:JUMBO-RADBURANA,จัมโบ้ ราษฎร์บูรณะ,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,Not active
บิ๊กซี,14001:JBO Samrong,S00881,BC:JUMBO-SUMRONG,จัมโบ้ สำโรง,สมุทรปราการ,กรุงเทพฯและภาคกลาง,Active
บิ๊กซี,15002:BJR PhangNga,S00862,BC-JUNIOR-PHANGNGA,จูเนียร์ พังงา,พังงา,ภาคใต้,Not active
บิ๊กซี,11137:Chachoengsao 1,S00922,BC-CHACHOENGSAO_1,ฉะเชิงเทรา 1,ฉะเชิงเทรา,ภาคตะวันตกและตะวันออก,Active
บิ๊กซี,11204:Chachoengsao 2,S00923,BC-CHACHOENGSAO_2,ฉะเชิงเทรา 2,ฉะเชิงเทรา,ภาคตะวันตกและตะวันออก,Active
บิ๊กซี,11152:Chonburi  1,S00929,BC-CHONBURI_1,ชลบุรี 1,ชลบุรี,ภาคตะวันตกและตะวันออก,Active
บิ๊กซี,11181:Chonburi 2,S00930,BC-CHONBURI_2,ชลบุรี 2,ชลบุรี,ภาคตะวันตกและตะวันออก,Active
บิ๊กซี,11158:Chaiyaphoom,S00924,BC-CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,ภาคตะวันออกเฉียงเหนือ,Active
บิ๊กซี,11206:Chumporn,S00931,BC-CHUMPHON,ชุมพร,ชุมพร,ภาคใต้,Active
บิ๊กซี,11125:Don Mueang,S00887,BC:DONMAUNG,ดอนเมือง,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,Active
บิ๊กซี,11239:Dan khun thot (Korat),S00932,BC-DANKHUNTHOT-NAKHONRATCHASIMA,ด่านขุนทด,นครราชสีมา,ภาคตะวันออกเฉียงเหนือ,Active
บิ๊กซี,11132:Daokanong,S00888,BC:DOWKANONG,ดาวคะนอง,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,Not active
บิ๊กซี,11220:Trang,S00980,BC-TRANG,ตรัง,ตรัง,ภาคใต้,Active
บิ๊กซี,11207:Tak,S00978,BC-TAK,ตาก,ตาก,ภาคเหนือ,Active
บิ๊กซี,11133:Tiwanon,S00791,BC:TIWANON,ติวานนท์,นนทบุรี,กรุงเทพฯและภาคกลาง,Active
บิ๊กซี,11238:Tha tako (Nakhonsawan),S00979,BC-THATAKO-NAKHONSAWAN,ท่าตะโก,นครสวรรค์,ภาคเหนือ,Active
บิ๊กซี,11107:Nakornpathom,S00797,BC:NAKHONPATHOM,นครปฐม,นครปฐม,ภาคตะวันตกและตะวันออก,Active
บิ๊กซี,11223:Nakhonpanom,S00836,BC-NAKHONPHANOM,นครพนม,นครพนม,ภาคตะวันออกเฉียงเหนือ,Active
บิ๊กซี,11111:Korat,S00949,BC-NAKHONRATCHASIMA,นครราชสีมา,นครราชสีมา,ภาคตะวันออกเฉียงเหนือ,Active
บิ๊กซี,11233:Korat 2,S00820,BC-NAKHONRATCHASIMA_2,นครราชสีมา 2,นครราชสีมา,ภาคตะวันออกเฉียงเหนือ,Active
บิ๊กซี,11249:Nakornsrithammarat 2,S00951,BC-NAKHONSITHAMMARAT_2,นครศรีธรรมราช 2,นครศรีธรรมราช,ภาคใต้,Active
บิ๊กซี,11135:Nakhonsawan 1,S00818,BC-NAKHONSAWAN_1,นครสวรรค์ 1,นครสวรรค์,ภาคเหนือ,Active
บิ๊กซี,11214:Nakhonsawan 2,S00950,BC-NAKHONSAWAN_2,นครสวรรค์ 2,นครสวรรค์,ภาคเหนือ,Active
บิ๊กซี,11256:Narathiwat,S00954,BC-NARATHIWAT,นราธิวาส,นราธิวาส,ภาคใต้,Active
บิ๊กซี,11229:Na Thawi,S00948,BC-NA_THAWI-SONGKHLA,นาทวี,สงขลา,ภาคใต้,Active
บิ๊กซี,11225:Nan,S00953,BC-NAN,น่าน,น่าน,ภาคเหนือ,Active
บิ๊กซี,11236:Nam Yuen (Ubonratchathani),S00952,BC-NAMYUEN-UBONRATCHATHANI,น้ำยืน,อุบลราชธานี,ภาคตะวันออกเฉียงเหนือ,Active
บิ๊กซี,11255:Bowin,S00850,BC-BORWIN-CHONBURI,บ่อวิน,ชลบุรี,ภาคตะวันตกและตะวันออก,Active
บิ๊กซี,11183:Bangyai,S00854,BC:BANGYAI,บางใหญ่,นนทบุรี,กรุงเทพฯและภาคกลาง,Active
บิ๊กซี,11130:Bangna,S00823,BC:BANGNA,บางนา,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,Active
บิ๊กซี,11195:Bangbon,S00810,BC:BANGBON,บางบอน,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,Active
บิ๊กซี,11196:Bangpakok,S00886,BC:BANGPAKOK,บางปะกอก,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,Active
บิ๊กซี,11106:Bangplee,S00771,BC:BANGPLEE,บางพลี,สมุทรปราการ,กรุงเทพฯและภาคกลาง,Active
บิ๊กซี,11157:Banpong,S00920,BC-BANPONG-RATCHABURI,บ้านโป่ง,ราชบุรี,ภาคตะวันตกและตะวันออก,Active
บิ๊กซี,11230:Banphai,S00919,BC-BANPHAI-KHONKAEN,บ้านไผ่,ขอนแก่น,ภาคตะวันออกเฉียงเหนือ,Active
บิ๊กซี,11235:Ban Dung (Udon Thani),S00918,BC-BANDUNG-UDONTHANI,บ้านดุง,อุดรธานี,ภาคตะวันออกเฉียงเหนือ,Active
บิ๊กซี,11208:Bangbueng,S00917,BC-BANBUENG-CHONBURI,บ้านบึง,ชลบุรี,ภาคตะวันตกและตะวันออก,Active
บิ๊กซี,11153:Buriram,S00773,BC-BURIRAM,บุรีรัมย์,บุรีรัมย์,ภาคตะวันออกเฉียงเหนือ,Active
บิ๊กซี,11234:Pathum thani,S00899,BC:PATHUMTHANI,ปทุมธานี,ปทุมธานี,กรุงเทพฯและภาคกลาง,Active
บิ๊กซี,15007:Pracha uthit,S00900,BC:PRACHA_UTHID,ประชาอุทิศ,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,Not active
บิ๊กซี,15015:Pluak Daeng,S00864,BC-PLUAK_DAENG-RAYONG,ปลวกแดง,ระยอง,ภาคตะวันตกและตะวันออก,Not active
บิ๊กซี,11139:Pattani,S00829,BC-PATTANI,ปัตตานี,ปัตตานี,ภาคใต้,Active
บิ๊กซี,11253:Pakchong,S00958,BC-PAKCHONG-NAKHONRATCHASIMA,ปากช่อง,นครราชสีมา,ภาคตะวันออกเฉียงเหนือ,Active
บิ๊กซี,11116:Rama2,S00844,BC:RAMA2,พระราม 2,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,Active
บิ๊กซี,11197:Rama2_2,S00902,BC:RAMA2_2,พระราม 2 (2),กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,Not active
บิ๊กซี,11190:Rama 4,S00808,BC:RAMA4,พระราม 4,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,Active
บิ๊กซี,11243:Phang Khon (Sakon Nakhon),S00960,BC-PHANG_KHON-SAKONNAKHON,พังโคน,สกลนคร,ภาคตะวันออกเฉียงเหนือ,Active
บิ๊กซี,11104:Pattaya 1,S00959,BC-PATTAYA_1(NORTH)-CHONBURI,พัทยา 1 พัทยาเหนือ,ชลบุรี,ภาคตะวันตกและตะวันออก,Active
บิ๊กซี,11134:Pattaya 2 Horeca,S00753,BC-PATTAYA_2(SOUTH)-CHONBURI,พัทยา 2 พัทยาใต้,ชลบุรี,ภาคตะวันตกและตะวันออก,Active
บิ๊กซี,11192:Pattaya 3,S00732,BC-PATTAYA_3(CENTER)-CHONBURI,พัทยา 3 พัทยากลาง,ชลบุรี,ภาคตะวันตกและตะวันออก,Active
บิ๊กซี,15014:Phibulmangsaharn,S00963,BC-PHIBUNMANGSAHAN-UBONRATCHATHANI,พิบูลมังสาหาร,อุบลราชธานี,ภาคตะวันออกเฉียงเหนือ,Active
บิ๊กซี,11113:Pisanulok,S00762,BC-PHITSANULOK,พิษณุโลก,พิษณุโลก,ภาคเหนือ,Active
บิ๊กซี,11129:Phuket 1,S00786,BC-PHUKET_1,ภูเก็ต 1,ภูเก็ต,ภาคใต้,Active
บิ๊กซี,11187:Phuket 2,S00966,BC-PHUKET_2,ภูเก็ต 2,ภูเก็ต,ภาคใต้,Active
บิ๊กซี,11168:Mahachai,S00895,BC:MAHACHAI-SAMUTSAKHON,มหาชัย,สมุทรสาคร,ภาคตะวันตกและตะวันออก,Active
บิ๊กซี,11254:Mahachai2,S00894,BC:MAHACHAI_2-SAMUTSAKHON,มหาชัย 2,สมุทรสาคร,ภาคตะวันตกและตะวันออก,Active
บิ๊กซี,11166:Mahasarakham,S00944,BC-MAHASARAKHAM,มหาสารคาม,มหาสารคาม,ภาคตะวันออกเฉียงเหนือ,Active
บิ๊กซี,15010:Lomsak,S00867,BC-MARKET-LOMSAK-PHETCHABUN,มาร์เก็ต หล่มสัก,เพชรบูรณ์,ภาคเหนือ,Not active
บิ๊กซี,11213:Mukdahan,S00947,BC-MUKDAHARN,มุกดาหาร,มุกดาหาร,ภาคตะวันออกเฉียงเหนือ,Active
บิ๊กซี,11163:Yasothon,S00985,BC-YASOTHON,ยโสธร,ยโสธร,ภาคตะวันออกเฉียงเหนือ,Active
บิ๊กซี,11259:Yala,S00790,BC-YALA,ยะลา,ยะลา,ภาคใต้,Active
บิ๊กซี,11202:Romklao,S00877,BC:ROMKRAW,ร่มเกล้า,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,Active
บิ๊กซี,11215:Roiet,S00859,BC-ROIET,ร้อยเอ็ด,ร้อยเอ็ด,ภาคตะวันออกเฉียงเหนือ,Active
บิ๊กซี,11227:Ranong,S00967,BC-RANONG,ระนอง,ระนอง,ภาคใต้,Active
บิ๊กซี,11115:Rayong,S00750,BC-RAYONG,ระยอง,ระยอง,ภาคตะวันตกและตะวันออก,Active
บิ๊กซี,11108:Rangsit 1,S00903,BC:RANGSIT_1,รังสิต 1,ปทุมธานี,กรุงเทพฯและภาคกลาง,Active
บิ๊กซี,11194:Rangsit 2,S01169,BC:RANGSIT2,รังสิต 2,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,Not active
บิ๊กซี,11198:Rangsit Klong 3,S00904,BC:RANGSIT_KLONG3,รังสิต คลอง 3,ปทุมธานี,กรุงเทพฯและภาคกลาง,Active
บิ๊กซี,11162:Rangsit  Klong 6,S00774,BC:RANGSIT_KLONG6,รังสิต คลอง 6,ปทุมธานี,กรุงเทพฯและภาคกลาง,Active
บิ๊กซี,11191:Ratchada,S00743,BC:RATCHADA,รัชดาภิเษก,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,Active
บิ๊กซี,11114:Rattanatibeth 1,S00764,BC:RATTANATHIBATE_1,รัตนาธิเบศร์ 1,นนทบุรี,กรุงเทพฯและภาคกลาง,Not active
บิ๊กซี,11189:Rattanatibeth 2,S00905,BC:RATTANATHIBATE_2,รัตนาธิเบศร์ 2,นนทบุรี,กรุงเทพฯและภาคกลาง,Active
บิ๊กซี,11172:Rajdamri,S00901,BC:RADDUMRI,ราชดำริ,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,Active
บิ๊กซี,11147:Ratchaburi,S00861,BC-RATCHABURI,ราชบุรี,ราชบุรี,ภาคตะวันตกและตะวันออก,Active
บิ๊กซี,11180:Ramintra,S00812,BC:RAMINTRA,รามอินทรา,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,Active
บิ๊กซี,11119:Lopburi 1,S00763,BC-LOPBURI_1,ลพบุรี 1,ลพบุรี,ภาคตะวันตกและตะวันออก,Active
บิ๊กซี,11176:Lopburi 2,S00943,BC-LOPBURI_2,ลพบุรี 2,ลพบุรี,ภาคตะวันตกและตะวันออก,Active
บิ๊กซี,11131:Ladphrao 1,S00875,BC:IMPERIAL-LADPRAO_1,ลาดพร้าว 1 อิมพีเรียล,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,Active
บิ๊กซี,11174:Ladphrao 2,S00882,BC:LADPRAO_2,ลาดพร้าว 2,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,Active
บิ๊กซี,11248:Latyao Nakornsawan,S00940,BC-LADYAO-NAKHONSAWAN,ลาดยาว,นครสวรรค์,ภาคเหนือ,Active
บิ๊กซี,11118:Lampang,S00941,BC-LAMPANG,ลำปาง,ลำปาง,ภาคเหนือ,Active
บิ๊กซี,11150:Lumphun,S00942,BC-LAMPHUN,ลำพูน,ลำพูน,ภาคเหนือ,Active
บิ๊กซี,11148:Lumlukka 1,S00828,BC:LAMLUKKA_1,ลำลูกกา 1,ปทุมธานี,กรุงเทพฯและภาคกลาง,Active
บิ๊กซี,11193:Lumlukka 2,S00893,BC:LAMLUKKA_2-KLONG4,ลำลูกกา 2 คลอง 4,ปทุมธานี,กรุงเทพฯและภาคกลาง,Active
บิ๊กซี,11101:Wongsawang,S00912,BC:WONGSAWANG,วงศ์สว่าง,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,Active
บิ๊กซี,11237:Wang num yen (Sakaeo),S00880,BC-WANGNAMYEN-SAKAEO,วังน้ำเย็น,สระแก้ว,ภาคตะวันตกและตะวันออก,Active
บิ๊กซี,15058:Wangsaphung,S00983,BC-WANGSAPHUNG-LOEI,วังสะพุง,เลย,ภาคตะวันออกเฉียงเหนือ,Not active
บิ๊กซี,11165:Varinchamrab,S00982,BC-VARINCHAMRAB-UBONRATCHATHANI,วารินชำราบ,อุบลราชธานี,ภาคตะวันออกเฉียงเหนือ,Active
บิ๊กซี,11241:Wichian Buri (Phetchabun),S00984,BC-WICHENBURI-PHETCHABUN,วิเชียรบุรี,เพชรบูรณ์,ภาคเหนือ,Active
บิ๊กซี,11178:Srinakarin,S00908,BC:SRINAKARIN,ศรีนครินทร์,สมุทรปราการ,กรุงเทพฯและภาคกลาง,Not active
บิ๊กซี,11222:Sri Mahapot,S00827,BC-SRIMAHAPHOT-PRACHINBURI,ศรีมหาโพธ,ปราจีนบุรี,ภาคตะวันตกและตะวันออก,Active
บิ๊กซี,11167:Sisaket,S00868,BC-SISAKET,ศรีสะเกษ,ศรีสะเกษ,ภาคตะวันออกเฉียงเหนือ,Active
บิ๊กซี,11145:Sakolnakorn,S00969,BC-SAKONNAKHON,สกลนคร,สกลนคร,ภาคตะวันออกเฉียงเหนือ,Active
บิ๊กซี,11212:Satun,S00973,BC-SATUN,สตูล,สตูล,ภาคใต้,Active
บิ๊กซี,11123:Samutprakran,S00872,BC:SAMUTPRAKAN,สมุทรปราการ,สมุทรปราการ,กรุงเทพฯและภาคกลาง,Active
บิ๊กซี,11218:Samutsongkram,S00971,BC-SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,ภาคตะวันตกและตะวันออก,Active
บิ๊กซี,11164:Sakhew,S00968,BC-SAKAEO,สระแก้ว,สระแก้ว,ภาคตะวันตกและตะวันออก,Active
บิ๊กซี,11258:Saraburi,S00858,BC-SARABURI,สระบุรี,สระบุรี,ภาคตะวันตกและตะวันออก,Active
บิ๊กซี,15006:Suanluang,S00909,BC:SUANG_LUNG,สวนหลวง,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,Not active
บิ๊กซี,11136:Saphankwai,S00757,BC:SAPANKWAI,สะพานควาย,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,Active
บิ๊กซี,11244:Sattahip (Chonburi),S00972,BC-SATTAHIP-CHONBURI,สัตหีบ,ชลบุรี,ภาคตะวันตกและตะวันออก,Active
บิ๊กซี,15003:Saimai,S00907,BC:SAIMAI,สายไหม,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,Not active
บิ๊กซี,11138:Samrong 1,S00838,BC:IMPERIAL-SUMRONG_1,สำโรง 1 อิมพีเรียลสำโรง,สมุทรปราการ,กรุงเทพฯและภาคกลาง,Active
บิ๊กซี,15038:Sikhiew,S00974,BC-SI_KHIEW-NAKHONRATCHASIMA,สีคิ้ว,นครราชสีมา,ภาคตะวันออกเฉียงเหนือ,Not active
บิ๊กซี,11156:Sukothai,S00975,BC-SUKHOTHAI,สุโขทัย,สุโขทัย,ภาคเหนือ,Active
บิ๊กซี,11257:Sungaikolok,S00814,BC-SU_NGAI_KOLOK-NARATHIWAT,สุไหงโกลก,นราธิวาส,ภาคใต้,Active
บิ๊กซี,11128:Suksawat,S00782,BC:SUKSAWAD,สุขสวัสดิ์,สมุทรปราการ,กรุงเทพฯและภาคกลาง,Active
บิ๊กซี,11143:Sukhapiban3_1,S00910,BC:SUKHAPIBAN3_1,สุขาภิบาล 3 (1),กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,Active
บิ๊กซี,11177:Sukhapiban3_2,S01170,BC:SUKHAPIBAN3_2,สุขาภิบาล 3 (2),กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,Not active
บิ๊กซี,15004:Sukhaphiban 5,S00911,BC:SUKHAPIBAN5,สุขาภิบาล 5,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,Not active
บิ๊กซี,11219:Suphanburi,S00976,BC-SUPHANBURI,สุพรรณบุรี,สุพรรณบุรี,ภาคตะวันตกและตะวันออก,Active
บิ๊กซี,11112:Suratthanee,S00777,BC-SURATTHANI,สุราษฎร์ธานี,สุราษฎร์ธานี,ภาคใต้,Active
บิ๊กซี,11140:Surin,S00879,BC-SURIN,สุรินทร์,สุรินทร์,ภาคตะวันออกเฉียงเหนือ,Active
บิ๊กซี,11240:Suwannaphum (Roi Et),S00977,BC-SUWANNAPHUM-ROIET,สุวรรณภูมิ,ร้อยเอ็ด,ภาคตะวันออกเฉียงเหนือ,Active
บิ๊กซี,11200:Suwingtawong,S00842,BC:SUWINTAWONG,สุวินทวงศ์,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,Active
บิ๊กซี,15009:Hatairat,S00890,BC:HATAIRAT,หทัยราษฎร์,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,Not active
บิ๊กซี,11247:Nong Ki Buriram,S00956,BC-NONG_KI-BURIRAM,หนองกี่,บุรีรัมย์,ภาคตะวันออกเฉียงเหนือ,Active
บิ๊กซี,11201:Nongchok,S00898,BC:NONGJOK,หนองจอก,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,Active
บิ๊กซี,11246:Nong Bua (Nakornsawan),S00957,BC-NONGBUA-NAKHONSAWAN,หนองบัว,นครสวรรค์,ภาคเหนือ,Active
บิ๊กซี,15064:Nam Daeng,S00896,BC:NAM_DAENG-BANGPLEE,หนามแดง,สมุทรปราการ,กรุงเทพฯและภาคกลาง,Not active
บิ๊กซี,15051:Huaitalaeng,S00866,BC-HUAI_TALAENG-BURIRAM,ห้วยแถลง,บุรีรัมย์,ภาคตะวันออกเฉียงเหนือ,Not active
บิ๊กซี,11122:Huamark,S00816,BC:HUAMARK,หัวหมาก,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,Active
บิ๊กซี,11260:HMHUMA,S01709,BC-HUAHIN-PRACHUAPKHIRIKHAN,หัวหิน,ประจวบคีรีขันธ์,ภาคตะวันตกและตะวันออก,Active
บิ๊กซี,11154:Hangdong 1,S00934,BC-HANGDONG-CHIANGMAI_1,หางดง 1,เชียงใหม่,ภาคเหนือ,Active
บิ๊กซี,11188:Hangdong 2,S00935,BC-HANGDONG-CHIANGMAI_2,หางดง 2,เชียงใหม่,ภาคเหนือ,Active
บิ๊กซี,11121:Hatyai 1,S00781,BC-HADYAI_1-SONGKHLA,หาดใหญ่ 1,สงขลา,ภาคใต้,Active
บิ๊กซี,11186:Hatyai 2,S00933,BC-HADYAI_2-SONGKHLA,หาดใหญ่ 2,สงขลา,ภาคใต้,Active
บิ๊กซี,15013:Kamala,S01965,BC-KAMALA-PHUKET,หาดกมลา,ภูเก็ต,ภาคใต้,Active
บิ๊กซี,11155:Ayuttaya Horeca,S00916,BC-AYUTTHAYA,อยุธยา,พระนครศรีอยุธยา,ภาคตะวันตกและตะวันออก,Active
บิ๊กซี,11232:Aranyaprathet,S00915,BC-ARANYAPRATHET-SAKAEO,อรัญประเทศ,สระแก้ว,ภาคตะวันตกและตะวันออก,Active
บิ๊กซี,11182:Onnuch,S00835,BC:ON_NUCH,อ่อนนุช,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,Active
บิ๊กซี,11141:Aomyai,S00849,BC:AOMYAI,อ้อมใหญ่,นครปฐม,ภาคตะวันตกและตะวันออก,Active
บิ๊กซี,11216:Angthong,S00914,BC-ANGTHONG,อ่างทอง,อ่างทอง,ภาคตะวันตกและตะวันออก,Active
บิ๊กซี,11169:Amnatchroen,S00913,BC-AMNATCHAROEN,อำนาจเจริญ,อำนาจเจริญ,ภาคตะวันออกเฉียงเหนือ,Active
บิ๊กซี,11199:Issaraphap,S00891,BC:ITSARAPAP,อิสรภาพ,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,Active
บิ๊กซี,11109:Udonthani 1,S00789,BC-UDONTHANI_1,อุดรธานี 1,อุดรธานี,ภาคตะวันออกเฉียงเหนือ,Active
บิ๊กซี,11205:Udonthani 2,S00981,BC-UDONTHANI_2,อุดรธานี 2,อุดรธานี,ภาคตะวันออกเฉียงเหนือ,Active
บิ๊กซี,11124:Ubon,S00775,BC-UBONRATCHATHANI,อุบลราชธานี,อุบลราชธานี,ภาคตะวันออกเฉียงเหนือ,Active
ดูโฮม,เชียงใหม่,S00413,DH-CHIANGMAI,เชียงใหม่,เชียงใหม่,ภาคเหนือ,Active
ดูโฮม,เชียงราย,S00367,DH-CHIANGRAI,เชียงราย,เชียงราย,ภาคเหนือ,Active
ดูโฮม,เทพารักษ์,S01912,DH:THEPHARAK-SAMUTPRAKAN,เทพารักษ์,สมุทรปราการ,กรุงเทพฯและภาคกลาง,Active
ดูโฮม,เพชรเกษม,S00162,DH:PETCHKASEM,เพชรเกษม,สมุทรสาคร,ภาคตะวันตกและตะวันออก,Active
ดูโฮม,แหลมฉบัง,S00131,DH-LAMCHABANG-CHONBURI,แหลมฉบัง,ชลบุรี,ภาคตะวันตกและตะวันออก,Active
ดูโฮม,กาญจนบุรี,S00268,DH-KANCHANABURI,กาญจนบุรี,กาญจนบุรี,ภาคตะวันตกและตะวันออก,Active
