Model,Brand,Category,SubCategory,Active-Inactive,Remark,Update by,Update date
TD100XFVEM,HITACHI,Washing machine,Dryer,Active,,admin,01/08/2026
WT11EPWDG,TCL,Washing machine,Wash & Dry,Active,,admin,01/08/2026
RS808N4TBMU,Hisense,Refrigerator,SBS,Active,,admin,01/08/2026
WT142FTLG,TCL,Washing machine,Top Load,Active,,admin,01/08/2026
WT150F50,Hisense,Washing machine,Top Load,Active,,admin,01/08/2026
WT200Q50,Hisense,Washing machine,Top Load,Active,,admin,01/08/2026
RR121D4TGN,Hisense,Refrigerator,1 Door,Active,,admin,01/08/2026
RR239D4TGN,Hisense,Refrigerator,1 Door,Active,,admin,01/08/2026
UA43U8000FKXXT,Samsung,Television,UHD,Active,,admin,01/08/2026
UA50U8000FKXXT,Samsung,Television,UHD,Active,,admin,01/08/2026
RR209D4TBN,Hisense,Refrigerator,1 Door,Active,,admin,01/08/2026
40HSA120AN,ACONATIC,Television,!n/a,Active,,admin,01/08/2026
GR-RT624WE,Toshiba,Refrigerator,2 Door,Active,,admin,01/08/2026
GN-Y331SLS,LG,Refrigerator,1 Door,Active,,admin,01/08/2026
HRTN5255MFXTH,HITACHI,Refrigerator,2 Door,Active,,admin,01/08/2026
43HS1000AN,ACONATIC,Television,!n/a,Active,,admin,01/08/2026
43US900AN,ACONATIC,Television,!n/a,Active,,admin,01/08/2026
GR-RT558WE-PMT,Toshiba,Refrigerator,2 Door,Active,,admin,01/08/2026
75A6Q,Hisense,Television,!n/a,Active,,admin,01/08/2026
32A3100G,Hisense,Television,!n/a,Active,,admin,01/08/2026
F2515RNEG,LG,Washing machine,Front Load,Active,,admin,01/08/2026
GR-D706MG,Toshiba,Refrigerator,1 Door,Active,,admin,01/08/2026
F2515SNEG,LG,Washing machine,Front Load,Active,,admin,01/08/2026
AW-M901BT,Toshiba,Washing machine,Top Load,Active,,admin,01/08/2026
FV1410H4W,LG,Washing machine,Front Load,Active,,admin,01/08/2026
GR-RT558WE,Toshiba,Refrigerator,2 Door,Active,,admin,01/08/2026
75US900AN,ACONATIC,Television,!n/a,Active,,admin,01/08/2026
BD-802HVOW,HITACHI,Washing machine,Front Load,Active,,admin,01/08/2026
32HS1000AN,ACONATIC,Television,!n/a,Active,,admin,01/08/2026
HRTN5198MXTH,HITACHI,Refrigerator,2 Door,Active,,admin,01/08/2026
AW-DUN1700MT,Toshiba,Washing machine,Top Load,Active,,admin,01/08/2026
HRTN5230MXTH,HITACHI,Refrigerator,2 Door,Active,,admin,01/08/2026
WT11KFDYW,TCL,Washing machine,Dryer,Active,,admin,01/08/2026
WD13BB944DGHST,Samsung,Washing machine,Dryer,Active,,admin,01/08/2026
RS588N4TS2N,Hisense,Refrigerator,SBS,Active,,admin,01/08/2026
TWH-45WTH(W),Toshiba,Water heater,WH,Active,,admin,01/08/2026
T2519VBTB,LG,Washing machine,Top Load,Active,,admin,01/08/2026
TW-T21BU105UWT,Toshiba,Washing machine,Front Load,Active,,admin,01/08/2026
WW10DB7U94GBST,Samsung,Washing machine,Front Load,Active,,admin,01/08/2026
QA65Q7F4AKXXT,Samsung,Television,QLED,Active,,admin,01/08/2026
WD105R5,Hisense,Washing machine,Wash & Dry,Active,,admin,01/08/2026
RR209D4TGN,Hisense,Refrigerator,1 Door,Active,,admin,01/08/2026
T2515VBTM,LG,Washing machine,Top Load,Active,,admin,01/08/2026
TX2520DT50,LG,Washing machine,Top Load,Active,,admin,01/08/2026
TD-BP110GHT(MG),Toshiba,Washing machine,Dryer,Active,,admin,01/08/2026
RF189N4TW1,Hisense,Freezer,ตู้แช่ทึบ,Active,,admin,01/08/2026
HRTN6443SGBKTH,HITACHI,Refrigerator,2 Door,Active,,admin,01/08/2026
RT42CG6644S9ST,Samsung,Refrigerator,2 Door,Active,,admin,01/08/2026
TT18NAPG,LG,Washing machine,Twin Tub,Active,,admin,01/08/2026
RR239D4TBN,Hisense,Refrigerator,1 Door,Active,,admin,01/08/2026
QA43Q7F4AKXXT,Samsung,Television,QLED,Active,,admin,01/08/2026
RT50MPSBG,TCL,Refrigerator,SBS,Active,,admin,01/08/2026
SF-170THV GG,HITACHI,Washing machine,Top Load,Active,,admin,01/08/2026
RS559N4TBN,Hisense,Refrigerator,2 Door,Active,,admin,01/08/2026
RT19XFSDS,TCL,Refrigerator,1 Door,Active,,admin,01/08/2026
VH-L170MT,Toshiba,Washing machine,Twin Tub,Active,,admin,01/08/2026
WF120N1,Hisense,Washing machine,Front Load,Active,,admin,01/08/2026
RF259N4TW1,Hisense,Freezer,ตู้แช่ทึบ,Active,,admin,01/08/2026
P611FLW,TCL,Washing machine,Front Load,Active,,admin,01/08/2026
RT156N1ES,Hisense,Refrigerator,1 Door,Active,,admin,01/08/2026
TT10NARG,LG,Washing machine,Twin Tub,Active,,admin,01/08/2026
RF459N4TW1,Hisense,Freezer,ตู้แช่ทึบ,Active,,admin,01/08/2026
WT129FTTG,TCL,Washing machine,Twin Tub,Active,,admin,01/08/2026
RT95XFSDB,TCL,Refrigerator,1 Door,Active,,admin,01/08/2026
WT1410NHEG,LG,Washing machine,Front Load,Active,,admin,01/08/2026
RV10VHP2B,LG,Washing machine,Dryer,Active,,admin,01/08/2026
WW80T3040WW/ST,Samsung,Washing machine,Front Load,Active,,admin,01/08/2026
WA70F13E4CST,Samsung,Washing machine,Top Load,Active,,admin,01/08/2026
RF359N4TW1,Hisense,Freezer,ตู้แช่ทึบ,Active,,admin,01/08/2026
WA70F15E4CST,Samsung,Washing machine,Top Load,Active,,admin,01/08/2026
TWD-T35BP160MWT(GB),Toshiba,Washing machine,Dryer,Active,,admin,01/08/2026
WA80F17S8BST,Samsung,Washing machine,Top Load,Active,,admin,01/08/2026
RT15XFSDS,TCL,Refrigerator,1 Door,Active,,admin,01/08/2026
TWD-T25BZU115MWT,Toshiba,Washing machine,Wash & Dry,Active,,admin,01/08/2026
TT14WAPG,LG,Washing machine,Twin Tub,Active,,admin,01/08/2026
WW10DG5U34AEST,Samsung,Washing machine,Front Load,Active,,admin,01/08/2026
TT15NARG,LG,Washing machine,Twin Tub,Active,,admin,01/08/2026
TT17NAPG,LG,Washing machine,Twin Tub,Active,,admin,01/08/2026
TT16WAPG,LG,Washing machine,Twin Tub,Active,,admin,01/08/2026
GR-RT234WE-DMTH,Toshiba,Refrigerator,2 Door,Active,,admin,01/08/2026
GN-B452PFFQ,LG,Refrigerator,2 Door,Active,,admin,01/08/2026
HR1S5187MNGTH,HITACHI,Refrigerator,1 Door,Active,,admin,01/08/2026
40A4Q,Hisense,Television,!n/a,Active,,admin,01/08/2026
GR-RC130CE,Toshiba,Freezer,ตู้แช่ทึบ,Active,,admin,01/08/2026
85A7Q,Hisense,Television,!n/a,Active,,admin,01/08/2026
GR-RT466WE,Toshiba,Refrigerator,2 Door,Active,,admin,01/08/2026
50A4Q,Hisense,Television,!n/a,Active,,admin,01/08/2026
FV1413H4M,LG,Washing machine,Front Load,Active,,admin,01/08/2026
50S5K,TCL,Television,QLED,Active,,admin,01/08/2026
43P7K,TCL,Television,QLED,Active,,admin,01/08/2026
AW-DUM1400LT,Toshiba,Washing machine,Top Load,Active,,admin,01/08/2026
GR-RF690WI-PGTH(67),Toshiba,Refrigerator,Multi Door,Active,,admin,01/08/2026
AW-DUM1600LT,Toshiba,Washing machine,Top Load,Active,,admin,01/08/2026
GR-RT310WE,Toshiba,Refrigerator,2 Door,Active,,admin,01/08/2026
AW-DUN1800MT,Toshiba,Washing machine,Top Load,Active,,admin,01/08/2026
65QNED80ASA,LG,Television,QLED,Active,,admin,01/08/2026
BD-1054HV0S,HITACHI,Washing machine,Front Load,Active,,admin,01/08/2026
FV1411S4W1,LG,Washing machine,Front Load,Active,,admin,01/08/2026
BD-D1054HV0S,HITACHI,Washing machine,Front Load,Active,,admin,01/08/2026
FV1413S2BA,LG,Washing machine,Front Load,Active,,admin,01/08/2026
HRTN5230MBBKTH,HITACHI,Refrigerator,2 Door,Active,,admin,01/08/2026
55US1000AN,ACONATIC,Television,!n/a,Active,,admin,01/08/2026
32HD515AN,ACONATIC,Television,!n/a,Active,,admin,01/08/2026
65NANO80ASA,LG,Television,UHD,Active,,admin,01/08/2026
HRTN6408SUTH,HITACHI,Refrigerator,2 Door,Active,,admin,01/08/2026
GR-RC259CE,Toshiba,Freezer,ตู้แช่ทึบ,Active,,admin,01/08/2026
F118TMG,TCL,Refrigerator,1 Door,Active,,admin,01/08/2026
GR-RF695WI-PGTH(67),Toshiba,Refrigerator,Multi Door,Active,,admin,01/08/2026
55T6D,TCL,Television,QLED,Active,,admin,01/08/2026
GR-RT252WE,Toshiba,Refrigerator,2 Door,Active,,admin,01/08/2026
F710TLW,TCL,Washing machine,Top Load,Active,,admin,01/08/2026
GR-RT310WE-PMTH(68),Toshiba,Refrigerator,2 Door,Active,,admin,01/08/2026
FB1209S6W,LG,Washing machine,Front Load,Active,,admin,01/08/2026
GR-RT466WE-PMTH,Toshiba,Refrigerator,2 Door,Active,,admin,01/08/2026
FV1209S5WG,LG,Washing machine,Front Load,Active,,admin,01/08/2026
GR-RT624WE-PMT,Toshiba,Refrigerator,2 Door,Active,,admin,01/08/2026
55UA7350PSB,LG,Television,UHD,Active,,admin,01/08/2026
43UA7350PSB,LG,Television,UHD,Active,,admin,01/08/2026
FV1410S5WG1,LG,Washing machine,Front Load,Active,,admin,01/08/2026
FV1413H2BA,LG,Washing machine,Front Load,Active,,admin,01/08/2026
LS32H5000FKXXT,Samsung,Television,!n/a,Active,,admin,01/08/2026
TW-T21BU80UWT(WW),Toshiba,Washing machine,Top Load,Active,,admin,01/08/2026
QA65Q8F5AKXXT,Samsung,Television,QLED,Active,,admin,01/08/2026
LTT12JWT,HITACHI,Washing machine,Twin Tub,Active,,admin,01/08/2026
UA55DU8100KXXT,Samsung,Television,UHD,Active,,admin,01/08/2026
T2312NBTO,LG,Washing machine,Top Load,Active,,admin,01/08/2026
RT42CB664412ST,Samsung,Refrigerator,2 Door,Active,,admin,01/08/2026
UA98DU9000KXXT,Samsung,Television,UHD,Active,,admin,01/08/2026
TWH-65EGNTH(K),Toshiba,Water heater,WH,Active,,admin,01/08/2026
VH-L150MT,Toshiba,Washing machine,Twin Tub,Active,,admin,01/08/2026
RT62GPSBD,TCL,Refrigerator,SBS,Active,,admin,01/08/2026
T2312VSPB,LG,Washing machine,Top Load,Active,,admin,01/08/2026
LTT10JWT,HITACHI,Washing machine,Twin Tub,Active,,admin,01/08/2026
VH-Q130MT,Toshiba,Washing machine,Twin Tub,Active,,admin,01/08/2026
WF90N1,Hisense,Washing machine,Front Load,Active,,admin,01/08/2026
T2313NBTB,LG,Washing machine,Top Load,Active,,admin,01/08/2026
LTL H3MVW0T GG,HITACHI,Washing machine,Top Load,Active,,admin,01/08/2026
T2313VSPB1,LG,Washing machine,Top Load,Active,,admin,01/08/2026
WT12XCFLG,TCL,Washing machine,Top Load,Active,,admin,01/08/2026
WA10CG4545BYST,Samsung,Washing machine,Top Load,Active,,admin,01/08/2026
RS670N4AD1,Hisense,Refrigerator,SBS,Active,,admin,01/08/2026
WA13CG5441BYST,Samsung,Washing machine,Top Load,Active,,admin,01/08/2026
WT18ETLG,TCL,Washing machine,Top Load,Active,,admin,01/08/2026
LTT17JWTMRG,HITACHI,Washing machine,Top Load,Active,,admin,01/08/2026
RS70F65K1BST,Samsung,Refrigerator,SBS,Active,,admin,01/08/2026
RF59CB001AP/ST,Samsung,Refrigerator,!n/a,Active,,admin,01/08/2026
WW13T504DAB/ST,Samsung,Washing machine,Front Load,Active,,admin,01/08/2026
WA19CG6745BDST,Samsung,Washing machine,Top Load,Active,,admin,01/08/2026
WW90T3040WW/ST,Samsung,Washing machine,Front Load,Active,,admin,01/08/2026
WA25B8377GV/ST,Samsung,Washing machine,Top Load,Active,,admin,01/08/2026
QA55Q7F4AKXXT,Samsung,Television,QLED,Active,,admin,01/08/2026
WA40F12E4CST,Samsung,Washing machine,Top Load,Active,,admin,01/08/2026
TWD-T21BU115UWT,Toshiba,Washing machine,Front Load,Active,,admin,01/08/2026
T2517VBTB,LG,Washing machine,Top Load,Active,,admin,01/08/2026
WT089FTTG,TCL,Washing machine,Twin Tub,Active,,admin,01/08/2026
T2517VBTM,LG,Washing machine,Top Load,Active,,admin,01/08/2026
RT47CB668422/ST,Samsung,Refrigerator,2 Door,Active,,admin,01/08/2026
MR-FC23EY,Mitsu Elec,Refrigerator,2 Door,Active,,admin,01/08/2026
QA75Q7F4AKXXT,Samsung,Television,QLED,Active,,admin,01/08/2026
RQ758N4TWU,Hisense,Refrigerator,Multi Door,Active,,admin,01/08/2026
TWH-48MFNTH(K),Toshiba,Water heater,WH,Active,,admin,01/08/2026
WA80F19S8BST,Samsung,Washing machine,Top Load,Active,,admin,01/08/2026
QA85Q7F4AKXXT,Samsung,Television,QLED,Active,,admin,01/08/2026
WA80F21S8BST,Samsung,Washing machine,Top Load,Active,,admin,01/08/2026
RF129N4TW1,Hisense,Freezer,!n/a,Active,,admin,01/08/2026
MR-FC31EY,Mitsu Elec,Refrigerator,2 Door,Active,,admin,01/08/2026
TW-T25BU115MWT(MG),Toshiba,Washing machine,Front Load,Active,,admin,01/08/2026
TD-H80SET,Toshiba,Washing machine,Dryer,Active,,admin,01/08/2026
WT195FTLG,TCL,Washing machine,Top Load,Active,,admin,01/08/2026
MR-FV22T/SL,Mitsu Elec,Refrigerator,2 Door,Active,,admin,01/08/2026
TX2522DT5G,LG,Washing machine,Top Load,Active,,admin,01/08/2026
RT286N4TBN,Hisense,Refrigerator,2 Door,Active,,admin,01/08/2026
LTL10M00GG,HITACHI,Washing machine,Top Load,Active,,admin,01/08/2026
HRTN6443SXTH,HITACHI,Refrigerator,2 Door,Active,,admin,01/08/2026
WW12CG604DLEST,Samsung,Washing machine,Front Load,Active,,admin,01/08/2026
WD5S1243BB,Hisense,Washing machine,Wash & Dry,Active,,admin,01/08/2026
WW80FG3M05TWST,Samsung,Washing machine,Front Load,Active,,admin,01/08/2026
WD90F21BCSST,Samsung,Washing machine,Wash & Dry,Active,,admin,01/08/2026
UA65DU8100KXXT,Samsung,Television,UHD,Active,,admin,01/08/2026
WD90T604DBE/ST,Samsung,Washing machine,Wash & Dry,Active,,admin,01/08/2026
TD90YFE,HITACHI,Washing machine,Dryer,Active,,admin,01/08/2026
55QSB340AN,ACONATIC,Television,QLED,Active,,admin,01/08/2026
GR-RT268WE,Toshiba,Refrigerator,2 Door,Active,,admin,01/08/2026
AN-FR1830,ACONATIC,Refrigerator,1 Door,Active,,admin,01/08/2026
75A7Q,Hisense,Television,!n/a,Active,,admin,01/08/2026
65Q6Q,Hisense,Television,QLED,Active,,admin,01/08/2026
F708TLG,TCL,Washing machine,Top Load,Active,,admin,01/08/2026
GR-RC390CE,Toshiba,Freezer,ตู้แช่ทึบ,Active,,admin,01/08/2026
75NANO80ASA,LG,Television,UHD,Active,,admin,01/08/2026
HRTN5275MFXTH,HITACHI,Refrigerator,2 Door,Active,,admin,01/08/2026
75NU855BPSA,LG,Television,UHD,Active,,admin,01/08/2026
GR-RT349WE,Toshiba,Refrigerator,2 Door,Active,,admin,01/08/2026
50US210AN,ACONATIC,Television,!n/a,Active,,admin,01/08/2026
GV-D252PQMB,LG,Refrigerator,2 Door,Active,,admin,01/08/2026
75P6K,TCL,Television,!n/a,Active,,admin,01/08/2026
DH80N1,Hisense,Washing machine,Dryer,Active,,admin,01/08/2026
50US900AN,ACONATIC,Television,!n/a,Active,,admin,01/08/2026
65NU855BPSA,LG,Television,UHD,Active,,admin,01/08/2026
FV1411S3MA,LG,Washing machine,Front Load,Active,,admin,01/08/2026
GR-RS600WI-PMT,Toshiba,Refrigerator,SBS,Active,,admin,01/08/2026
75UA8450PSA,LG,Television,UHD,Active,,admin,01/08/2026
GR-RT236WE-PMTH(50),Toshiba,Refrigerator,2 Door,Active,,admin,01/08/2026
65US900AN,ACONATIC,Television,!n/a,Active,,admin,01/08/2026
EDV804H3WC,Electrolux,Washing machine,Dryer,Active,,admin,01/08/2026
32HS410AN,ACONATIC,Television,!n/a,Active,,admin,01/08/2026
55Q6Q,Hisense,Television,QLED,Active,,admin,01/08/2026
55A7Q,Hisense,Television,!n/a,Active,,admin,01/08/2026
65T6D,TCL,Television,QLED,Active,,admin,01/08/2026
55UQ7050PSA,LG,Television,!n/a,Active,,admin,01/08/2026
65UA7350PSB,LG,Television,UHD,Active,,admin,01/08/2026
GC-B187JQAM,LG,Refrigerator,SBS,Active,,admin,01/08/2026
43UA8450PSA,LG,Television,UHD,Active,,admin,01/08/2026
GN-B202SQBB,LG,Refrigerator,2 Door,Active,,admin,01/08/2026
DV10BB9440GHST,Samsung,Washing machine,Dryer,Active,,admin,01/08/2026
GN-B212PFNF,LG,Refrigerator,2 Door,Active,,admin,01/08/2026
GR-RF605WI-PMT,Toshiba,Refrigerator,2 Door,Active,,admin,01/08/2026
GN-B212PFNR,LG,Refrigerator,2 Door,Active,,admin,01/08/2026
98C655,TCL,Television,QLED,Active,,admin,01/08/2026
GN-B262PQSF,LG,Refrigerator,2 Door,Active,,admin,01/08/2026
GR-RS600WI,Toshiba,Refrigerator,SBS,Active,,admin,01/08/2026
65UT7350PSB,LG,Television,!n/a,Active,,admin,01/08/2026
GR-RS780WI-PMT,Toshiba,Refrigerator,SBS,Active,,admin,01/08/2026
GN-C702HXCM,LG,Refrigerator,2 Door,Active,,admin,01/08/2026
43T6D,TCL,Television,QLED,Active,,admin,01/08/2026
GN-D322PQMB,LG,Refrigerator,!n/a,Active,,admin,01/08/2026
AN-FR4000S,ACONATIC,Refrigerator,2 Door,Active,,admin,01/08/2026
55NANO80AS,LG,Television,UHD,Active,,admin,01/08/2026
GR-RT303WE,Toshiba,Refrigerator,2 Door,Active,,admin,01/08/2026
GN-X332PPGB,LG,Refrigerator,2 Door,Active,,admin,01/08/2026
EWF1023P5WC,Electrolux,Washing machine,Front Load,Active,,admin,01/08/2026
GN-Y201CLS,LG,Refrigerator,1 Door,Active,,admin,01/08/2026
EWF1025DQWB,Electrolux,Washing machine,Front Load,Active,,admin,01/08/2026
55US500AN,ACONATIC,Television,!n/a,Active,,admin,01/08/2026
GR-RT535WEA,Toshiba,Refrigerator,2 Door,Active,,admin,01/08/2026
55US700AN,ACONATIC,Television,!n/a,Active,,admin,01/08/2026
EWW1023P5SC,Electrolux,Washing machine,Front Load,Active,,admin,01/08/2026
GR-D149SB,Toshiba,Refrigerator,1 Door,Active,,admin,01/08/2026
EWW1343P5SC,Electrolux,Washing machine,Front Load,Active,,admin,01/08/2026
BD-904HVOW,HITACHI,Washing machine,Front Load,Active,,admin,01/08/2026
AN-FR928,ACONATIC,Refrigerator,1 Door,Active,,admin,01/08/2026
GR-D189SB,Toshiba,Refrigerator,1 Door,Active,,admin,01/08/2026
55QNED80ASA,LG,Television,QLED,Active,,admin,01/08/2026
65A7Q,Hisense,Television,!n/a,Active,,admin,01/08/2026
GR-D706MSG,Toshiba,Refrigerator,!n/a,Active,,admin,01/08/2026
DV90CGC2A0AEST,Samsung,Washing machine,Dryer,Active,,admin,01/08/2026
HRTN5275MFUTH,HITACHI,Refrigerator,!n/a,Active,,admin,01/08/2026
DV90F17CDSST,Samsung,Washing machine,Dryer,Active,,admin,01/08/2026
HRTN6408SGBKTH,HITACHI,Refrigerator,2 Door,Active,,admin,01/08/2026
DV90T6240LE,Samsung,Washing machine,Dryer,Active,,admin,01/08/2026
EDS904N3SC,Electrolux,Washing machine,Dryer,Active,,admin,01/08/2026
100Q6Q,Hisense,Television,!n/a,Active,,admin,01/08/2026
PS140WJ,HITACHI,Washing machine,Twin Tub,Active,,admin,01/08/2026
WTWH-38MFNTH,Toshiba,Water heater,WH,Active,,admin,01/08/2026
WT04KFDYW,TCL,Washing machine,Dryer,Active,,admin,01/08/2026
RBG340PTHOGPW,HITACHI,Refrigerator,!n/a,Active,,admin,01/08/2026
OLED55A2,LG,Television,OLED,Active,,admin,01/08/2026
SF-170ZCV,HITACHI,Washing machine,Top Load,Active,,admin,01/08/2026
RT47C6644S9ST,Samsung,Refrigerator,2 Door,Active,,admin,01/08/2026
SF200ZGV,HITACHI,Washing machine,Top Load,Active,,admin,01/08/2026
RVG450PDX,HITACHI,Refrigerator,2 Door,Active,,admin,01/08/2026
SF200ZGV/SS,HITACHI,Washing machine,Top Load,Active,,admin,01/08/2026
SF-170THV,HITACHI,Washing machine,Top Load,Active,,admin,01/08/2026
T2310VSPM,LG,Washing machine,Top Load,Active,,admin,01/08/2026
P609FLW,TCL,Washing machine,Front Load,Active,,admin,01/08/2026
LTT 1 JWT MRG,HITACHI,Washing machine,Twin Tub,Active,,admin,01/08/2026
RT38CG6020S9/ST,Samsung,Refrigerator,2 Door,Active,,admin,01/08/2026
LF129N4TW1,Hisense,Freezer,!n/a,Active,,admin,01/08/2026
RT52GCCDW,TCL,Refrigerator,2 Door,Active,,admin,01/08/2026
LF189N4TW1,Hisense,Freezer,!n/a,Active,,admin,01/08/2026
RV10VHP3W1,LG,Washing machine,Dryer,Active,,admin,01/08/2026
T2313NBTO,LG,Washing machine,Top Load,Active,,admin,01/08/2026
RWB640P1H1,HITACHI,Refrigerator,Multi Door,Active,,admin,01/08/2026
LF229N4TW1,Hisense,Freezer,!n/a,Active,,admin,01/08/2026
WW12DG604DLEST,Samsung,Washing machine,Front Load,Active,,admin,01/08/2026
MF-U14S/W,Mitsu Elec,Freezer,!n/a,Active,,admin,01/08/2026
VH-H85MT,Toshiba,Washing machine,Twin Tub,Active,,admin,01/08/2026
RF48A4000M9/ST,Samsung,Refrigerator,!n/a,Active,,admin,01/08/2026
OLED65G5PSA,LG,Television,OLED,Active,,admin,01/08/2026
T2516VBTM,LG,Washing machine,Top Load,Active,,admin,01/08/2026
WA19CG6745BSDT,Samsung,Washing machine,Top Load,Active,,admin,01/08/2026
T2517BTB,LG,Washing machine,Top Load,Active,,admin,01/08/2026
LTL 15MVWOT,HITACHI,Washing machine,Top Load,Active,,admin,01/08/2026
RF559N4TW1,Hisense,Freezer,!n/a,Active,,admin,01/08/2026
WD10T734DBX,Samsung,Washing machine,Dryer,Active,,admin,01/08/2026
MR-140T/SL,Mitsu Elec,Refrigerator,!n/a,Active,,admin,01/08/2026
